"developer","provider_type","program_year","tot_provs_report_developer","tot_provs_report_2015_edition","tot_provs_report_2014_edition","tot_provs_report_2011_edition","product_type"
"McKesson","professional",2011,133,0,0,133,"Commercial"
"MCS - Medical Communication Systems, Inc.","professional",2011,40,0,0,40,"Commercial"
"MD Logic, Inc.","professional",2011,61,0,0,61,"Commercial"
"MD On-Line, Inc.","professional",2011,1,0,0,1,"Commercial"
"MD Synergy Solutions, LLC","professional",2011,7,0,0,7,"Commercial"
"MD Web Solutions","professional",2011,1,0,0,1,"Commercial"
"MDLAND","professional",2011,36,0,0,36,"Commercial"
"MDoffice, Inc.","professional",2011,41,0,0,41,"Commercial"
"MED3000, Inc","professional",2011,312,0,0,312,"Commercial"
"Medaxis Corporation","professional",2011,1,0,0,1,"Commercial"
"MedAZ.Net, LLC","professional",2011,2,0,0,2,"Commercial"
"Medcom Information Systems, Inc.","professional",2011,11,0,0,11,"Commercial"
"MedcomSoft","professional",2011,12,0,0,12,"Commercial"
"MedConnect, Inc.","professional",2011,6,0,0,6,"Commercial"
"MedCPU Inc.","professional",2011,278,0,0,278,"Commercial"
"MEDENT - Community Computer Service, Inc.","professional",2011,1483,0,0,1483,"Commercial"
"Medflow Holdings, LLC","professional",2011,228,0,0,228,"Commercial"
"Medical Informatics Engineering","professional",2011,80,0,0,80,"Commercial"
"Medical Information Technology, Inc. (MEDITECH)","professional",2011,1,0,0,1,"Commercial"
"Medical Messenger","professional",2011,1,0,0,1,"Commercial"
"Medical Office Online","professional",2011,12,0,0,12,"Commercial"
"Medical Office Technologies, Inc.","professional",2011,5,0,0,5,"Commercial"
"Medical Transcription Billing Corporation (MTBC)","professional",2011,48,0,0,48,"Commercial"
"Medical Voice Products, Inc.","professional",2011,9,0,0,9,"Commercial"
"MedInformatix","professional",2011,319,0,0,319,"Commercial"
"MediSYS","professional",2011,26,0,0,26,"Commercial"
"Meditab Software Inc.","professional",2011,169,0,0,169,"Commercial"
"MedLink International, Inc","professional",2011,25,0,0,25,"Commercial"
"MedMagic LLC","professional",2011,8,0,0,8,"Self-developed"
"MedPlus, A Quest Diagnostics Company","professional",2011,282,0,0,282,"Commercial"
"Medrium Inc.","professional",2011,1,0,0,1,"Commercial"
"MedSeek, Inc.","professional",2011,171,0,0,171,"Commercial"
"Medstreaming EMR, LLC","professional",2011,3,0,0,3,"Commercial"
"MedSym, Inc.","professional",2011,6,0,0,6,"Commercial"
"Medtech, Inc.","professional",2011,21,0,0,21,"Commercial"
"MEDTRON Software Intelligence Corporation","professional",2011,3,0,0,3,"Commercial"
"MedXLnce, Inc.","professional",2011,4,0,0,4,"Commercial"
"Mercury Solutions, LLC","professional",2011,1,0,0,1,"Commercial"
"Merge Healthcare, Inc.","professional",2011,22,0,0,22,"Commercial"
"meridianEMR, Inc.","professional",2011,336,0,0,336,"Commercial"
"MicroFour, Inc.","professional",2011,61,0,0,61,"Commercial"
"Microsoft Corporation","professional",2011,1,0,0,1,"Commercial"
"Midwest Software, LLC","professional",2011,89,0,0,89,"Commercial"
"Mighty Oak Technology, Inc.","professional",2011,41,0,0,41,"Commercial"
"Mitochon Systems, Inc.","professional",2011,10,0,0,10,"Commercial"
"ModuleMD","professional",2011,14,0,0,14,"Commercial"
"Mountain Computer Systems","professional",2011,4,0,0,4,"Commercial"
"MPN Software Systems, Inc.","professional",2011,162,0,0,162,"Commercial"
"MxSecure, Inc.","professional",2011,1,0,0,1,"Commercial"
"NCG Medical Systems, Inc.","professional",2011,85,0,0,85,"Commercial"
"NeoDeck Holdings","professional",2011,7,0,0,7,"Commercial"
"Net Health","professional",2011,11,0,0,11,"Commercial"
"Netsmart Technologies","professional",2011,38,0,0,38,"Commercial"
"Networking Technology dba RxNT","professional",2011,30,0,0,30,"Commercial"
"NexTech Systems Inc.","professional",2011,178,0,0,178,"Commercial"
"nextEMR, LLC","professional",2011,4,0,0,4,"Commercial"
"NextGen Healthcare","professional",2011,3250,0,0,3250,"Commercial"
"Nightingale Informatix Corporation","professional",2011,2,0,0,2,"Commercial"
"Nortec Software Inc","professional",2011,1,0,0,1,"Commercial"
"Northwestern University","professional",2011,40,0,0,40,"Self-developed"
"Noteworthy Medical Systems, Inc.","professional",2011,49,0,0,49,"Commercial"
"Nuesoft Technologies, Inc.","professional",2011,29,0,0,29,"Commercial"
"OCERIS, Inc.","professional",2011,32,0,0,32,"Commercial"
"ODOS Industries, Inc.","professional",2011,5,0,0,5,"Commercial"
"OEMR","professional",2011,9,0,0,9,"Commercial"
"Office Ally, Inc.","professional",2011,130,0,0,130,"Commercial"
"OIS","professional",2011,1,0,0,1,"Commercial"
"Open Software Solutions, LLC","professional",2011,3,0,0,3,"Commercial"
"Origin Healthcare Solutions","professional",2011,66,0,0,66,"Commercial"
"Orion Health","professional",2011,8,0,0,8,"Commercial"
"Oxbow Intellectual Property, LLC","professional",2011,3,0,0,3,"Commercial"
"Pacific Medical Communications, Inc.","professional",2011,12,0,0,12,"Commercial"
"PAL/MED Development, LLC","professional",2011,3,0,0,3,"Commercial"
"Paramount Health Solutions LLC","professional",2011,1,0,0,1,"Commercial"
"Partners Healthcare System","professional",2011,158,0,0,158,"Self-developed"
"Patagonia Health","professional",2011,6,0,0,6,"Commercial"
"patientNOW","professional",2011,13,0,0,13,"Commercial"
"PBO Corporation","professional",2011,23,0,0,23,"Commercial"
"PBSI - Positive Business Solutions, Inc.","professional",2011,11,0,0,11,"Commercial"
"Penn Medical Informatics Systems, Inc.","professional",2011,34,0,0,34,"Commercial"
"Phoenix Ortho, LLC","professional",2011,52,0,0,52,"Commercial"
"Phyaura, LLC","professional",2011,1,0,0,1,"Commercial"
"Physician's Computer Company","professional",2011,1,0,0,1,"Commercial"
"PlatinumMD","professional",2011,26,0,0,26,"Commercial"
"Practice Fusion","professional",2011,1590,0,0,1590,"Commercial"
"Practice Today","professional",2011,3,0,0,3,"Commercial"
"Practice Velocity, LLC","professional",2011,19,0,0,19,"Commercial"
"PracticeMax, Inc.","professional",2011,2,0,0,2,"Commercial"
"Prematics","professional",2011,1,0,0,1,"Commercial"
"Prime Clinical Systems, Inc.","professional",2011,186,0,0,186,"Commercial"
"PriMedx Solutions, LLC","professional",2011,3,0,0,3,"Commercial"
"PrimeSource Healthcare Systems, Inc.","professional",2011,18,0,0,18,"Commercial"
"Prognosis Innovation Healthcare","professional",2011,3,0,0,3,"Commercial"
"Pulse Systems, Inc","professional",2011,120,0,0,120,"Commercial"
"QRS, Inc.","professional",2011,17,0,0,17,"Commercial"
"QuikEyes","professional",2011,11,0,0,11,"Commercial"
"Rabbit Healthcare Systems","professional",2011,25,0,0,25,"Commercial"
"Radysans, Inc","professional",2011,5,0,0,5,"Commercial"
"Raintree Systems, Inc.","professional",2011,5,0,0,5,"Commercial"
"Rheumatology and Dermatology Associates PC","professional",2011,28,0,0,28,"Self-developed"
"Sage","professional",2011,1342,0,0,1342,"Commercial"
"Sajix Inc.","professional",2011,1,0,0,1,"Commercial"
"Sammy Systems","professional",2011,322,0,0,322,"Commercial"
"San Diego Hospitalist Physician Corp","professional",2011,2,0,0,2,"Self-developed"
"Sequel Systems, Inc.","professional",2011,26,0,0,26,"Commercial"
"Sevocity a division of Conceptual MindWorks, Inc","professional",2011,58,0,0,58,"Commercial"
"SilkOne","professional",2011,1,0,0,1,"Commercial"
"simplifyMD, Inc","professional",2011,25,0,0,25,"Commercial"
"SMARTMD Corporation","professional",2011,5,0,0,5,"Commercial"
"SOAPware, Inc.","professional",2011,342,0,0,342,"Commercial"
"Software Solutions Group, Inc","professional",2011,6,0,0,6,"Commercial"
"Softworx Solutions, Inc.","professional",2011,14,0,0,14,"Commercial"
"Soren Technology","professional",2011,4,0,0,4,"Commercial"
"Spring Medical Systems","professional",2011,58,0,0,58,"Commercial"
"SRSsoft","professional",2011,6,0,0,6,"Commercial"
"STI Computer Services, Inc.","professional",2011,303,0,0,303,"Commercial"
"StreamlineMD, LLC","professional",2011,10,0,0,10,"Commercial"
"SuccessEHS","professional",2011,199,0,0,199,"Commercial"
"SuiteMed","professional",2011,203,0,0,203,"Commercial"
"SynaMed, LLC","professional",2011,12,0,0,12,"Commercial"
"Systemedx Inc","professional",2011,5,0,0,5,"Commercial"
"TechSoft, Inc.","professional",2011,10,0,0,10,"Commercial"
"TheraManager LLC","professional",2011,2,0,0,2,"Commercial"
"Total Outsource, Inc.","professional",2011,3,0,0,3,"Commercial"
"TransMed Network","professional",2011,14,0,0,14,"Commercial"
"TransMedic","professional",2011,7,0,0,7,"Commercial"
"Trellix Engineering Corp.","professional",2011,19,0,0,19,"Commercial"
"TRIARQ Practice Services","professional",2011,137,0,0,137,"Commercial"
"TriMed Technologies, Corp.","professional",2011,34,0,0,34,"Commercial"
"Ulrich Medical Concepts, Inc.","professional",2011,23,0,0,23,"Commercial"
"UltraMed Software","professional",2011,23,0,0,23,"Commercial"
"UNI/CARE Systems, Inc","professional",2011,2,0,0,2,"Commercial"
"UnisonCare Corporation","professional",2011,6,0,0,6,"Commercial"
"Universal EHR, Inc.","professional",2011,1,0,0,1,"Commercial"
"Universal EMR Solutions","professional",2011,16,0,0,16,"Commercial"
"US Oncology","professional",2011,5,0,0,5,"Commercial"
"Valant Medical Solutions, Inc.","professional",2011,19,0,0,19,"Commercial"
"Varian Medical Systems","professional",2011,41,0,0,41,"Commercial"
"VeinDraw","professional",2011,2,0,0,2,"Commercial"
"Versaform Systems Corp.","professional",2011,8,0,0,8,"Commercial"
"VersaSuite","professional",2011,13,0,0,13,"Commercial"
"VIP Medicine, LLC","professional",2011,21,0,0,21,"Commercial"
"VIPA Health Solutions, LLC","professional",2011,14,0,0,14,"Commercial"
"Vision Infonet Inc","professional",2011,10,0,0,10,"Commercial"
"Visionary HealthWare, LLC","professional",2011,12,0,0,12,"Commercial"
"Vitera Healthcare Solutions, LLC","professional",2011,35,0,0,35,"Commercial"
"Waiting Room Solutions","professional",2011,72,0,0,72,"Commercial"
"WEBeDoctor, Inc.","professional",2011,15,0,0,15,"Commercial"
"Wellcentive, Inc.","professional",2011,236,0,0,236,"Commercial"
"Williams Group","professional",2011,32,0,0,32,"Commercial"
"Workflow.com, LLC","professional",2011,89,0,0,89,"Commercial"
"Xcite Health Corp.","professional",2011,1,0,0,1,"Commercial"
"XLEMR","professional",2011,5,0,0,5,"Commercial"
"Zenith Technology Solutions, LLC","professional",2011,2,0,0,2,"Commercial"
"3M Health Information Systems","professional",2012,3,0,0,3,"Commercial"
"4medica, Inc.","professional",2012,13,0,0,13,"Commercial"
"ABEL Medical Software, Inc.","professional",2012,11,0,0,11,"Commercial"
"Abraxas Medical Solutions, Inc","professional",2012,96,0,0,96,"Commercial"
"ACOM Health, Division of ACOM Solutions, Inc.","professional",2012,476,0,0,476,"Commercial"
"Acrendo Software, Inc.","professional",2012,105,0,0,105,"Commercial"
"Acurus Solutions, Inc.","professional",2012,23,0,0,23,"Commercial"
"Addison Health Systems, Inc.","professional",2012,286,0,0,286,"Commercial"
"ADS Technologies, Inc.","professional",2012,17,0,0,17,"Commercial"
"Advanced Data Systems Corporation","professional",2012,513,0,0,513,"Commercial"
"Advanced Health Management Systems, LLC","professional",2012,2,0,0,2,"Commercial"
"Advanced Medical Information Solutions","professional",2012,1,0,0,1,"Commercial"
"Advanced Provider Solutions, LLC","professional",2012,32,0,0,32,"Commercial"
"AdvancedMD","professional",2012,351,0,0,351,"Commercial"
"AdvantaChart Inc","professional",2012,4,0,0,4,"Commercial"
"Agastha, Inc.","professional",2012,29,0,0,29,"Commercial"
"ALERT Life Sciences Computing, S.A.","professional",2012,1,0,0,1,"Commercial"
"AllegianceMD Software, Inc.","professional",2012,90,0,0,90,"Commercial"
"AllMeds, Inc.","professional",2012,673,0,0,673,"Commercial"
"Allscripts","professional",2012,24787,0,0,24787,"Commercial"
"Alma Information Systems, Inc.","professional",2012,32,0,0,32,"Commercial"
"AltaPoint Data Systems","professional",2012,82,0,0,82,"Commercial"
"Alton Healthcare, LLC","professional",2012,2,0,0,2,"Commercial"
"Altos Solutions, Inc","professional",2012,544,0,0,544,"Commercial"
"Amazing Charts","professional",2012,1811,0,0,1811,"Commercial"
"American Medical Software","professional",2012,90,0,0,90,"Commercial"
"AmisHealth LLC","professional",2012,2,0,0,2,"Commercial"
"AntWorks Healthcare","professional",2012,59,0,0,59,"Commercial"
"AppMed Inc.","professional",2012,78,0,0,78,"Commercial"
"Aprima Medical Software, Inc.","professional",2012,1140,0,0,1140,"Commercial"
"ArcSys, Inc.","professional",2012,14,0,0,14,"Commercial"
"Arete Healthcare Services, LLC","professional",2012,46,0,0,46,"Commercial"
"Armaria Data Systems, LLC","professional",2012,3,0,0,3,"Commercial"
"Askesis Development Group, Inc.","professional",2012,1,0,0,1,"Commercial"
"ASP.MD Inc.","professional",2012,5,0,0,5,"Commercial"
"athenahealth, Inc.","professional",2012,4018,0,0,4018,"Commercial"
"Atlantic Cape IT, LLC","professional",2012,1,0,0,1,"Commercial"
"AutoMedSys, LLC","professional",2012,2,0,0,2,"Commercial"
"Avairis, Inc.","professional",2012,7,0,0,7,"Commercial"
"Avazen Health","professional",2012,2,0,0,2,"Commercial"
"Avreo, Inc.","professional",2012,30,0,0,30,"Commercial"
"Axolotl Corp","professional",2012,68,0,0,68,"Commercial"
"Azalea Health","professional",2012,6,0,0,6,"Commercial"
"BackChart","professional",2012,25,0,0,25,"Commercial"
"Beth Israel Deaconess Medical Center","professional",2012,476,0,0,476,"Self-developed"
"Binary Spectrum Pvt. Ltd.","professional",2012,1,0,0,1,"Commercial"
"BioMedix Vascular Solutions","professional",2012,1553,0,0,1553,"Commercial"
"BIT Healthcare, Inc.","professional",2012,1,0,0,1,"Commercial"
"Bizmatics Inc.","professional",2012,389,0,0,389,"Commercial"
"BlueFire Medical Software","professional",2012,4,0,0,4,"Commercial"
"Bogardus Medical Systems, Inc.","professional",2012,26,0,0,26,"Commercial"
"Bradoc Data Management Inc.","professional",2012,7,0,0,7,"Commercial"
"BusinessOn, Inc.","professional",2012,1,0,0,1,"Commercial"
"Businet, LLC","professional",2012,63,0,0,63,"Commercial"
"CaduRx, Inc.","professional",2012,15,0,0,15,"Commercial"
"California Medical Systems","professional",2012,24,0,0,24,"Commercial"
"CareCloud Corporation","professional",2012,41,0,0,41,"Commercial"
"Carestream Health","professional",2012,18,0,0,18,"Commercial"
"CareTech Solutions","professional",2012,1,0,0,1,"Commercial"
"Carol Emerson MD","professional",2012,8,0,0,8,"Commercial"
"Catalis, Inc.","professional",2012,9,0,0,9,"Commercial"
"Center for Diagnostic Imaging","professional",2012,54,0,0,54,"Self-developed"
"Cerner Corporation","professional",2012,6304,0,0,6304,"Commercial"
"ChartLogic, Inc.","professional",2012,526,0,0,526,"Commercial"
"Chesapeake Potomac Cancer Center","professional",2012,6,0,0,6,"Self-developed"
"ChiroCloud LLC","professional",2012,7,0,0,7,"Commercial"
"ChoiceOne EHR Inc.","professional",2012,9,0,0,9,"Commercial"
"CitiusTech, Inc.","professional",2012,98,0,0,98,"Commercial"
"Claimat Inc.","professional",2012,7,0,0,7,"Commercial"
"Claimpower, Inc.","professional",2012,3,0,0,3,"Commercial"
"Clarkson Eyecare","professional",2012,88,0,0,88,"Self-developed"
"Claydata LLC","professional",2012,10,0,0,10,"Commercial"
"ClearPractice","professional",2012,49,0,0,49,"Commercial"
"Clinic Doctor, Inc.","professional",2012,2,0,0,2,"Commercial"
"Clinic Service Corporation","professional",2012,4,0,0,4,"Commercial"
"ClinicMax, Inc.","professional",2012,2,0,0,2,"Commercial"
"Clinix MIS LLC","professional",2012,174,0,0,174,"Commercial"
"CodoniX","professional",2012,37,0,0,37,"Commercial"
"Colonial Valley Software, LLC","professional",2012,6,0,0,6,"Commercial"
"ComChart Medical Software, LLC","professional",2012,19,0,0,19,"Commercial"
"Complete Medical Solutions, LLC","professional",2012,6,0,0,6,"Commercial"
"CompuGroup Medical, Inc.","professional",2012,117,0,0,117,"Commercial"
"Compulink Business Systems, Inc.","professional",2012,1921,0,0,1921,"Commercial"
"Computer Systems Consultants, Inc.","professional",2012,2,0,0,2,"Commercial"
"Comtron Corp.","professional",2012,71,0,0,71,"Commercial"
"Covisint","professional",2012,16,0,0,16,"Commercial"
"CPSI (Computer Programs and Systems), Inc.","professional",2012,22,0,0,22,"Commercial"
"Criterions, LLC","professional",2012,141,0,0,141,"Commercial"
"Crowell Systems","professional",2012,69,0,0,69,"Commercial"
"Crystal Practice Management","professional",2012,352,0,0,352,"Commercial"
"CureMD.com, Inc.","professional",2012,127,0,0,127,"Commercial"
"Custom Computing Corporation","professional",2012,5,0,0,5,"Commercial"
"Cybax Corporation","professional",2012,8,0,0,8,"Commercial"
"Cyclops Vision Corporation","professional",2012,27,0,0,27,"Commercial"
"Cyfluent","professional",2012,29,0,0,29,"Commercial"
"Darena Solutions LLC","professional",2012,16,0,0,16,"Commercial"
"Data Strategies, Inc.","professional",2012,101,0,0,101,"Commercial"
"Data Tec, Inc.","professional",2012,28,0,0,28,"Commercial"
"DataGroup Technologies Inc.","professional",2012,1,0,0,1,"Commercial"
"DataNet Solutions, Inc.","professional",2012,1,0,0,1,"Commercial"
"dbMotion","professional",2012,869,0,0,869,"Commercial"
"Dexter Solutions Inc","professional",2012,29,0,0,29,"Commercial"
"digiChart, Inc.","professional",2012,256,0,0,256,"Commercial"
"DigiDMS, Inc.","professional",2012,63,0,0,63,"Commercial"
"Digital Medical Solutions, Inc.","professional",2012,91,0,0,91,"Commercial"
"Dignity Health","professional",2012,262,0,0,262,"Commercial"
"Diversified Ophthalmics, Inc.","professional",2012,22,0,0,22,"Commercial"
"DNA Data Systems","professional",2012,36,0,0,36,"Commercial"
"Doc-tor.com","professional",2012,55,0,0,55,"Commercial"
"doc2MD, Inc.","professional",2012,4,0,0,4,"Commercial"
"DocComply","professional",2012,19,0,0,19,"Commercial"
"DocPatientNetwork","professional",2012,8,0,0,8,"Commercial"
"Doctor Office Management, Inc.","professional",2012,24,0,0,24,"Commercial"
"DoctorsPartner LLC","professional",2012,50,0,0,50,"Commercial"
"DocuTAP","professional",2012,103,0,0,103,"Commercial"
"DocuTrac, Inc.","professional",2012,2,0,0,2,"Commercial"
"Dox-Starwriter","professional",2012,67,0,0,67,"Commercial"
"DR Systems, Inc.","professional",2012,427,0,0,427,"Commercial"
"drchrono Inc.","professional",2012,119,0,0,119,"Commercial"
"DrFirst","professional",2012,854,0,0,854,"Commercial"
"DrScribe, Inc.","professional",2012,6,0,0,6,"Commercial"
"E-Health Partners, Inc.","professional",2012,7,0,0,7,"Commercial"
"E-Z BIS, Inc.","professional",2012,253,0,0,253,"Commercial"
"E*HealthLine.com, Inc.","professional",2012,4,0,0,4,"Commercial"
"Easy Billing Systems, Inc.","professional",2012,16,0,0,16,"Commercial"
"EBIO-METRONICS","professional",2012,10,0,0,10,"Commercial"
"eCast Corporation","professional",2012,26,0,0,26,"Commercial"
"eClinicalWorks, LLC","professional",2012,14650,0,0,14650,"Commercial"
"eDerm Systems LLC","professional",2012,16,0,0,16,"Self-developed"
"eHealth Made EASY, LLC","professional",2012,7,0,0,7,"Commercial"
"EHR Solutions Group, LLC","professional",2012,2,0,0,2,"Commercial"
"Elation EMR, Inc.","professional",2012,11,0,0,11,"Commercial"
"Elekta - IMPAC Medical Systems, Inc.","professional",2012,845,0,0,845,"Commercial"
"Emdeon Corporation","professional",2012,30,0,0,30,"Commercial"
"eMDs","professional",2012,5887,0,0,5887,"Commercial"
"eMed Solutions LLC","professional",2012,3,0,0,3,"Commercial"
"EMedicalNotes, LLC","professional",2012,80,0,0,80,"Commercial"
"eMedPractice LLC","professional",2012,7,0,0,7,"Commercial"
"Emory Healthcare","professional",2012,66,0,0,66,"Self-developed"
"Empower Systems","professional",2012,5,0,0,5,"Commercial"
"Empower Technologies, Inc.","professional",2012,4,0,0,4,"Commercial"
"EMRgence, LLC","professional",2012,37,0,0,37,"Commercial"
"EMRlogic Systems, Inc.","professional",2012,170,0,0,170,"Commercial"
"Enable Healthcare Inc.","professional",2012,94,0,0,94,"Commercial"
"EnableDoc LLC","professional",2012,5,0,0,5,"Commercial"
"Encite, Inc.","professional",2012,212,0,0,212,"Commercial"
"EnSoftek, Inc","professional",2012,3,0,0,3,"Commercial"
"Enterprise Healthcare Systems Inc. (MDPlus.Net)","professional",2012,1,0,0,1,"Commercial"
"EON Systems, Inc.","professional",2012,73,0,0,73,"Commercial"
"Epic Systems Corporation","professional",2012,39207,0,0,39207,"Commercial"
"Epocrates, Inc.","professional",2012,3,0,0,3,"Commercial"
"Eprosystem Inc.","professional",2012,4,0,0,4,"Commercial"
"eRAD, Inc.","professional",2012,60,0,0,60,"Commercial"
"eScribe EMR Solutions","professional",2012,62,0,0,62,"Commercial"
"Estuary Electronic Health Records","professional",2012,1,0,0,1,"Commercial"
"Etransmedia Technology, Inc.","professional",2012,1,0,0,1,"Commercial"
"Exemplo Medical, LLC","professional",2012,18,0,0,18,"Commercial"
"ExitCare, LLC","professional",2012,21,0,0,21,"Commercial"
"Exscribe, Inc.","professional",2012,240,0,0,240,"Commercial"
"Eyecom3 / HealthLine Systems, Inc.","professional",2012,14,0,0,14,"Commercial"
"Eyefinity, Inc.","professional",2012,3212,0,0,3212,"Commercial"
"EyeMD EMR Healthcare Systems","professional",2012,175,0,0,175,"Commercial"
"EZ Healthcare Inc.","professional",2012,13,0,0,13,"Commercial"
"EZ Notes Inc.","professional",2012,157,0,0,157,"Commercial"
"Falcon, LLC.","professional",2012,265,0,0,265,"Commercial"
"First Insight Corporation","professional",2012,572,0,0,572,"Commercial"
"FlagShipMD LLC","professional",2012,6,0,0,6,"Commercial"
"Florida Heart & Vascular Multi Specialty Group","professional",2012,19,0,0,19,"Self-developed"
"Forte Holdings","professional",2012,114,0,0,114,"Commercial"
"FUJIFILM Medical Systems USA, Inc.","professional",2012,16,0,0,16,"Commercial"
"Future Health","professional",2012,613,0,0,613,"Commercial"
"GE Healthcare","professional",2012,11495,0,0,11495,"Commercial"
"GEMMS","professional",2012,795,0,0,795,"Commercial"
"Genensys LLC","professional",2012,2,0,0,2,"Commercial"
"Genesis Primary Care EMR","professional",2012,5,0,0,5,"Commercial"
"Genius Solutions Inc.","professional",2012,41,0,0,41,"Commercial"
"GeniusDoc, Inc.","professional",2012,73,0,0,73,"Commercial"
"Glenwood Systems LLC","professional",2012,134,0,0,134,"Commercial"
"gMed, Inc.","professional",2012,978,0,0,978,"Commercial"
"Greenway Health, LLC","professional",2012,4605,0,0,4605,"Commercial"
"H-DOX","professional",2012,31,0,0,31,"Commercial"
"HCA Information Technology & Services, Inc.","professional",2012,250,0,0,250,"Self-developed"
"Health Administration Systems, Inc.","professional",2012,22,0,0,22,"Commercial"
"Health Care Intranet Technologies (HCIT)","professional",2012,23,0,0,23,"Commercial"
"Health Data Services, Inc.","professional",2012,3,0,0,3,"Commercial"
"Health Innovation Technologies, Inc.","professional",2012,475,0,0,475,"Commercial"
"Health IT Services Group","professional",2012,716,0,0,716,"Commercial"
"Health One Alliance","professional",2012,4,0,0,4,"Commercial"
"Health Systems Technology, Inc.","professional",2012,39,0,0,39,"Commercial"
"Healthcare Management Systems, Inc.","professional",2012,1,0,0,1,"Commercial"
"HealthFusion","professional",2012,413,0,0,413,"Commercial"
"Healthland","professional",2012,28,0,0,28,"Commercial"
"HealthPort","professional",2012,1058,0,0,1058,"Commercial"
"HealthTec Software Inc","professional",2012,2,0,0,2,"Commercial"
"Hello Health","professional",2012,5,0,0,5,"Commercial"
"Henry Schein Medical Systems","professional",2012,304,0,0,304,"Commercial"
"Henry Schein Practice Solutions, Inc.","professional",2012,21,0,0,21,"Commercial"
"HHT International Consulting, Inc. DBA MDFlow Systems","professional",2012,9,0,0,9,"Commercial"
"Holt Systems, Inc.","professional",2012,20,0,0,20,"Commercial"
"Horizon Medical World LLC","professional",2012,2,0,0,2,"Commercial"
"i2i Systems","professional",2012,1,0,0,1,"Commercial"
"Iatric Systems, Inc.","professional",2012,35,0,0,35,"Commercial"
"ICANotes LLC","professional",2012,30,0,0,30,"Commercial"
"ifa united i-tech Inc.","professional",2012,91,0,0,91,"Commercial"
"Imagine MD, LLC","professional",2012,2,0,0,2,"Commercial"
"iMed Software Corporation","professional",2012,38,0,0,38,"Commercial"
"iMedicWare","professional",2012,99,0,0,99,"Commercial"
"Indian Health Service","professional",2012,152,0,0,152,"Commercial"
"Infinite Software Solutions Inc. [D/B/A MD-Reports]","professional",2012,46,0,0,46,"Commercial"
"Infinitt North America","professional",2012,36,0,0,36,"Commercial"
"Infinity Practice Partners","professional",2012,1,0,0,1,"Commercial"
"Infomedika, Inc.","professional",2012,1,0,0,1,"Commercial"
"InfoQuest Systems","professional",2012,5,0,0,5,"Commercial"
"Infor-Med Medical Information Systems Inc.","professional",2012,139,0,0,139,"Commercial"
"Inforia, Inc","professional",2012,17,0,0,17,"Commercial"
"Ingenix","professional",2012,425,0,0,425,"Commercial"
"Inmediata Health Group Corporation","professional",2012,18,0,0,18,"Commercial"
"Innovative Medical Practice Solutions","professional",2012,23,0,0,23,"Commercial"
"InPracSys","professional",2012,31,0,0,31,"Commercial"
"Insight Software, LLC","professional",2012,135,0,0,135,"Commercial"
"Instakare Accentia Healthcare Solutions Corporation","professional",2012,4,0,0,4,"Commercial"
"InstantDx, LLC","professional",2012,2,0,0,2,"Commercial"
"Institute for Health Metrics","professional",2012,31,0,0,31,"Commercial"
"Integrated Health Care Solutions","professional",2012,26,0,0,26,"Commercial"
"Integrated Practice Solutions, Inc.","professional",2012,888,0,0,888,"Commercial"
"Integrated Systems Management, Inc.","professional",2012,91,0,0,91,"Commercial"
"Integritas, Inc.","professional",2012,8,0,0,8,"Commercial"
"Integrity Digital Solutions, LLC","professional",2012,77,0,0,77,"Commercial"
"Intelerad Medical Systems Incorporated","professional",2012,40,0,0,40,"Commercial"
"Intellicure, Inc.","professional",2012,1,0,0,1,"Commercial"
"Intermountain Healthcare","professional",2012,544,0,0,544,"Self-developed"
"Intivia, Inc.","professional",2012,147,0,0,147,"Commercial"
"IntrinsiQ LLC","professional",2012,37,0,0,37,"Commercial"
"Intuit Health","professional",2012,18,0,0,18,"Commercial"
"Intuitive Medical Documents","professional",2012,4,0,0,4,"Commercial"
"Intuitive Medical Software","professional",2012,748,0,0,748,"Commercial"
"InTUUN Systems","professional",2012,10,0,0,10,"Commercial"
"IO Practiceware, Inc.","professional",2012,232,0,0,232,"Commercial"
"IOD Incorporated","professional",2012,731,0,0,731,"Commercial"
"IOS Health Systems","professional",2012,144,0,0,144,"Commercial"
"iPatientCare, Inc.","professional",2012,4,0,0,4,"Commercial"
"IQ-EQ Systems, LLC","professional",2012,3,0,0,3,"Commercial"
"Iris Medical Services LLC","professional",2012,13,0,0,13,"Commercial"
"iSALUS Healthcare","professional",2012,114,0,0,114,"Commercial"
"Jardogs","professional",2012,2401,0,0,2401,"Commercial"
"Jefferson Technical Services, LLC","professional",2012,14,0,0,14,"Commercial"
"Kabot Systems","professional",2012,11,0,0,11,"Commercial"
"Keiser Computers, Inc.","professional",2012,98,0,0,98,"Commercial"
"KeyMed, LLC","professional",2012,59,0,0,59,"Commercial"
"Kryptiq Corporation","professional",2012,10,0,0,10,"Commercial"
"Lahey Clinic Foundation Inc","professional",2012,415,0,0,415,"Self-developed"
"Lavender & Wyatt Systems, Inc.","professional",2012,4,0,0,4,"Commercial"
"LCD Solutions, Inc.","professional",2012,2,0,0,2,"Commercial"
"LeonardoMD","professional",2012,17,0,0,17,"Commercial"
"Lester E. Cox Medical Centers (DBA: CoxHealth)","professional",2012,162,0,0,162,"Self-developed"
"Life Systems Software","professional",2012,50,0,0,50,"Commercial"
"LIN Software, LLC","professional",2012,25,0,0,25,"Commercial"
